id,date,store,item,sales
0,7/11/2023,1,1,13
39793,7/18/2024,1,37,47
9429,5/10/2025,1,9,20
46189,1/26/2024,1,43,29
23079,10/3/2023,1,22,72
49236,6/1/2026,1,45,29
54078,9/6/2024,1,50,39
17093,5/9/2025,1,16,26
23455,10/13/2024,1,22,67
28193,10/6/2025,1,26,60
3852,1/28/2025,1,4,30
41223,6/18/2025,1,38,40
38284,5/30/2026,1,35,26
45905,4/16/2026,1,42,26
34565,3/22/2025,1,32,83
43291,2/16/2025,1,40,69
38918,2/23/2025,1,36,71
15004,8/18/2025,1,14,18
5538,9/12/2023,1,6,18
28147,8/21/2025,1,26,15
47336,3/18/2024,1,44,30
43357,4/23/2025,1,40,28
26081,12/23/2025,1,24,45
15748,9/1/2024,1,15,15
9612,11/9/2025,1,9,14
42345,7/15/2025,1,39,31
17218,9/11/2025,1,16,15
17538,7/29/2023,1,17,23
51713,3/15/2024,1,48,50
11247,5/3/2024,1,11,15
54326,5/12/2025,1,50,40
17378,2/18/2026,1,16,22
877,12/4/2025,1,1,23
9422,5/3/2025,1,9,21
42928,2/19/2024,1,40,42
5453,6/18/2026,1,5,17
5552,9/26/2023,1,6,17
9931,9/25/2023,1,10,17
29837,4/8/2024,1,28,51
30818,12/16/2023,1,29,42
34606,5/2/2025,1,32,69
35968,1/24/2026,1,33,70
38540,2/11/2024,1,36,60
30536,3/8/2026,1,28,51
25432,3/14/2024,1,24,72
38953,3/30/2025,1,36,60
34996,5/27/2026,1,32,52
17487,6/7/2026,1,16,28
35901,11/18/2025,1,33,98
53964,5/15/2024,1,50,32
2931,7/21/2025,1,3,23
27902,12/19/2024,1,26,54
24391,5/7/2024,1,23,56
41131,3/18/2025,1,38,43
45150,3/22/2024,1,42,37
39304,3/16/2026,1,36,41
1303,2/4/2024,1,2,28
39336,4/17/2026,1,36,51
3733,10/1/2024,1,4,17
25042,2/17/2026,1,23,84
14968,7/13/2025,1,14,20
2505,5/21/2024,1,3,18
34652,6/17/2025,1,32,57
6221,7/26/2025,1,6,14
23293,5/4/2024,1,22,72
53826,12/29/2023,1,50,46
5379,4/5/2026,1,5,36
16510,10/4/2023,1,16,24
35661,3/23/2025,1,33,68
21672,11/24/2025,1,20,115
47618,12/25/2024,1,44,31
11304,6/29/2024,1,11,9
25085,4/1/2026,1,23,76
14494,3/26/2024,1,14,35
8254,2/19/2025,1,8,31
13299,12/17/2023,1,13,20
5257,12/4/2025,1,5,33
26294,7/25/2023,1,25,27
32681,1/22/2026,1,30,64
1823,7/8/2025,1,2,15
52010,1/6/2025,1,48,43
15964,4/5/2025,1,15,38
8725,6/5/2026,1,8,19
30673,7/24/2023,1,29,33
